,symbol,sign,last,percentChange,totalVolume,cors,detail,industry,sector
0,KLINIQ,,37.0,6.47,12.22,,,,
1,XO,,13.5,5.47,2.99,,เครื่องปรุงรสอาหาร | ซอส,AGRO,
2,A5,,2.86,5.15,39.25,,,PROPCON,
3,DHOUSE,,0.82,5.13,0.45,,พัฒนาอสังหาริมทรัพย์,PROPCON,
4,TQR,,12.1,4.31,0.16,TQR TQM,ประกันรถยนต์และประกันภัย,FINCIAL,
5,ITNS,ST,4.22,3.43,8.28,,,,
6,DITTO,,75.5,3.42,6.25,,เครื่องถ่ายเอกสาร และเครื่องพิมพ,TECH,
7,BSM,,0.33,3.12,0.73,,เฟรมอลูมิเนียม,PROPCON,
8,IP,,15.0,2.74,1.14,,ผลิตภัณฑ์สุขภาพ,CONSUMP,
9,QLT,,6.3,2.44,0.11,,ตรวจสอบและรับรองคุณภาพเครื่องจักร,SERVICE,
