,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,SIRI,,1.7,3.66,473.95,PROPCON,PROP,ITD NWR SIRI,คอนโดและบ้านจัดสรร พัฒนาอสังหาริมทรัพย์
1,AQ,C,0.02,0.0,310.01,PROPCON,PROP,,คอนโดและบ้านจัดสรร พัฒนาอสังหาริมทรัพย์
2,NATION,"C, XR",0.19,5.56,226.07,SERVICE,MEDIA,,
3,PTT,,32.25,-1.53,112.61,RESOURC,ENERG,,พลังงาน ปิโตรเคมี
4,TTB,,1.38,0.0,107.92,FINCIAL,BANK,,กลาง
5,BEM,,9.45,2.72,107.01,SERVICE,TRANS,,ระบบขนส่งมวลชน
6,NUSA,,1.14,-5.0,102.23,PROPCON,PROP,NUSA JSP EVER PF,คอนโดและบ้านจัดสรร พัฒนาอสังหาริมทรัพย์
7,IRPC,,3.0,0.0,97.52,RESOURC,ENERG,,โรงกลั่นนํ้ามัน
8,BANPU,,13.4,-0.74,91.8,RESOURC,ENERG,,ถ่านหิน
9,WHA,,3.9,0.0,70.88,PROPCON,PROP,,นิคมอุตสาหกรรม
