,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,SIRI,,1.64,-4.09,889.15,PROPCON,PROP,ITD NWR SIRI,คอนโดและบ้านจัดสรร พัฒนาอสังหาริมทรัพย์
1,WHA,,3.9,2.09,156.42,PROPCON,PROP,,นิคมอุตสาหกรรม
2,TTB,,1.37,-0.72,126.25,FINCIAL,BANK,,กลาง
3,NUSA,,1.21,5.22,104.39,PROPCON,PROP,NUSA JSP EVER PF,คอนโดและบ้านจัดสรร พัฒนาอสังหาริมทรัพย์
4,GUNKUL,,5.5,0.92,88.34,RESOURC,ENERG,,ผลิตไฟฟ้า
5,IRPC,,2.98,-1.97,86.2,RESOURC,ENERG,,โรงกลั่นนํ้ามัน
6,BANPU,,13.5,1.5,84.64,RESOURC,ENERG,,ถ่านหิน
7,BAM,,16.1,3.87,74.63,FINCIAL,FIN,,บริหารจัดการสินทรัพย์ด้อยคุณภาพ
8,CHG,,3.6,-1.1,68.96,SERVICE,HELTH,,โรงพยาบาลขนาดกลาง
9,NATION,"C, XR",0.19,-38.71,68.23,SERVICE,MEDIA,,
