,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,CPANEL,,8.6,7.5,3.91,PROPCON,,,คอนกรีต
1,SPA,,11.8,7.27,6.12,SERVICE,,,สปา
2,DITTO,,74.75,6.41,6.06,TECH,,,เครื่องถ่ายเอกสาร และเครื่องพิมพ
3,DPAINT,,10.8,5.88,2.91,PROPCON,,,สีทาบ้าน
4,BOL,,10.5,5.53,5.1,SERVICE,,,บริการข้อมูลข่าวสาร ให้บริการด้านบริหารความเสี่ยง
5,IIG,,42.0,5.0,0.73,TECH,,,ซอฟต์แวร์ พัฒนาแพลตฟอร์ม
6,D,,5.45,4.81,16.54,SERVICE,,,ทันตกรรม
7,SE,,1.34,4.69,10.3,SERVICE,,,ปั๊มสูบส่งนํ้า
8,SEAOIL,,4.54,4.61,4.88,RESOURC,,,ผลิตปิโตรเลียม
9,UPA,,0.23,4.55,17.15,RESOURC,,JTS ZIGA UPA ECF AJA COMAN MVP,โซล่าเซลล์และสาธารณูปโภค
