,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,TTB,,1.21,0.83,295.73,FINCIAL,BANK,,กลาง
1,SIRI,,1.24,4.2,257.72,PROPCON,PROP,ITD NWR SIRI,คอนโดและบ้านจัดสรร พัฒนาอสังหาริมทรัพย์
2,TRUE,,5.1,0.0,185.58,TECH,ICT,,บริการสื่อสารโทรคมนาคม
3,PPPM,"C, NP",0.17,0.0,174.79,AGRO,AGRI,,อาหารสัตว์
4,SPACK,,3.96,-10.81,153.67,INDUS,PKG,UTP SCGP SPACK TPAC,กระดาษบรรจุภัณฑ์
5,AQ,C,0.02,0.0,130.65,PROPCON,PROP,,คอนโดและบ้านจัดสรร พัฒนาอสังหาริมทรัพย์
6,U,,1.47,-4.55,123.04,PROPCON,PROP,,คอนโดและบ้านจัดสรร พัฒนาอสังหาริมทรัพย์
7,BANPU,,12.7,0.79,120.44,RESOURC,ENERG,,ถ่านหิน
8,IRPC,,2.98,-1.97,115.83,RESOURC,ENERG,,โรงกลั่นนํ้ามัน
9,STARK,,3.76,0.0,95.69,INDUS,IMM,,สายไฟฟ้า
