,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,AQUA,,0.74,8.82,671.27,SERVICE,MEDIA,,
1,AQ,C,0.02,0.0,518.2,PROPCON,PROP,,คอนโดและบ้านจัดสรร พัฒนาอสังหาริมทรัพย์
2,BANPU,,12.7,0.79,141.16,RESOURC,ENERG,,ถ่านหิน
3,TTB,,1.36,0.0,118.82,FINCIAL,BANK,,กลาง
4,CHG,,3.7,2.78,76.27,SERVICE,HELTH,,โรงพยาบาลขนาดกลาง
5,BCH,,19.8,5.32,75.62,SERVICE,HELTH,,โรงพยาบาลขนาดใหญ่
6,TKN,,9.35,29.86,75.12,AGRO,FOOD,,ขนมสาหร่าย
7,GRAND,,0.23,0.0,72.72,SERVICE,TOURISM,,โรงแรม
8,U,,1.56,0.65,70.07,PROPCON,PROP,,คอนโดและบ้านจัดสรร พัฒนาอสังหาริมทรัพย์
9,MINT,,29.75,2.59,69.06,AGRO,FOOD,,ร้านอาหาร
