,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,STOWER,C,0.05,25.0,26.63,RESOURC,,,โรงไฟฟ้าพลังงานทดแทน และติดตั้งระบบไฟฟ้า
1,MTW,,3.5,21.53,511.14,,,,
2,ABM,,2.18,9.55,12.86,RESOURC,,ETC BWG GENCO AKP ABM,เชื้อเพลิงชีวมวล
3,ATP30,,1.45,7.41,9.08,SERVICE,,,ผู้ให้บริการรถโดยสาร
4,PRI,,20.4,5.15,12.09,,,,
5,KWM,,2.6,4.84,2.95,INDUS,,KWM KWI,ใบผาล อุปกรณ์การเกษตร
6,UKEM,,1.63,4.49,8.43,INDUS,,GIFT UKEM,
7,YGG,,9.25,3.93,9.15,SERVICE,,YGG AS,คอมพิวเตอร์กราฟฟิก
8,SPA,,11.2,3.7,5.77,SERVICE,,,สปา
9,PRAPAT,,1.59,3.25,1.67,INDUS,,,
