,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,MORE,,0.44,-12.0,315.61,SERVICE,,,"ผลิตยาสมุนไพร, อสังหา, เน็ตเวิร์ค"
1,PRI,,19.2,28.0,213.81,,,,
2,PSG,,1.17,0.86,198.84,PROPCON,,,
3,UPA,,0.2,5.26,74.45,RESOURC,,JTS ZIGA UPA ECF AJA COMAN MVP,โซล่าเซลล์และสาธารณูปโภค
4,NEWS,C,0.03,0.0,58.71,SERVICE,,,ระบบเทคโนโลยีสารสนเทศและกําลังจะทํา Fintech
5,A5,,3.9,5.98,55.77,PROPCON,,,
6,VL,,1.64,0.61,42.59,SERVICE,,,ขนส่ง
7,ECF,,1.81,-1.63,27.91,CONSUMP,,JTS ZIGA UPA ECF AJA COMAN MVP,เฟอร์นิเจอร์ไม้และแปรรูปไม้ยางพารา
8,UREKA,,1.27,-1.55,17.25,INDUS,,,เครื่องจักรอุตสาหกรรม
9,KOOL,,0.51,-3.77,12.97,SERVICE,,,พัดลมไอเย็น
