,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,SIRI,,1.24,0.0,154.28,PROPCON,PROP,ITD NWR SIRI,คอนโดและบ้านจัดสรร พัฒนาอสังหาริมทรัพย์
1,SPACK,,4.46,12.63,146.7,INDUS,PKG,UTP SCGP SPACK TPAC,กระดาษบรรจุภัณฑ์
2,TRUE,,5.1,0.0,145.62,TECH,ICT,,บริการสื่อสารโทรคมนาคม
3,TTB,,1.22,0.83,142.54,FINCIAL,BANK,,กลาง
4,SUPER,,0.69,2.99,116.25,RESOURC,ENERG,,ไฟฟ้าเซลล์แสงอาทิตย์
5,U,,1.57,6.8,113.35,PROPCON,PROP,,คอนโดและบ้านจัดสรร พัฒนาอสังหาริมทรัพย์
6,LH,,8.95,2.87,104.94,PROPCON,PROP,AP LH SPALI PSH SC,คอนโดและบ้านจัดสรร พัฒนาอสังหาริมทรัพย์
7,BANPU,,12.8,0.79,105.4,RESOURC,ENERG,,ถ่านหิน
8,PTT,,34.25,-0.72,92.1,RESOURC,ENERG,,พลังงาน ปิโตรเคมี
9,MINT,,24.5,-2.0,74.97,AGRO,FOOD,,ร้านอาหาร
