,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,MORE,,2.58,4.03,479.06,SERVICE,,,"ผลิตยาสมุนไพร, อสังหา, เน็ตเวิร์ค"
1,ZIGA,,4.66,24.6,213.04,INDUS,,JTS ZIGA UPA ECF AJA COMAN MVP,ท่อเหล็กร้อยสายไฟ และธุรกิจ Bitcoin mining
2,NEWS,C,0.03,0.0,136.98,SERVICE,,,ระบบเทคโนโลยีสารสนเทศและกําลังจะทํา Fintech
3,SENAJ,,1.19,1.71,88.28,PROPCON,,,
4,UPA,,0.23,4.55,86.09,RESOURC,,JTS ZIGA UPA ECF AJA COMAN MVP,โซล่าเซลล์และสาธารณูปโภค
5,LDC,,1.24,3.33,71.74,SERVICE,,,ทันตกรรม
6,CHIC,,0.97,2.11,58.87,SERVICE,,,เฟอร์นิเจอร์ตกแต่งภายใน
7,SALEE,,1.26,0.8,51.71,INDUS,,SALEE SLP COLOR,พลาสติกสําหรับรถยนต์ พิมพ์สี
8,PJW,,5.1,2.0,50.19,INDUS,,TPLAS TNPC MBAX PJW,บรรจุภัณฑ์พลาสติก
9,UREKA,,1.64,-1.8,46.59,INDUS,,,เครื่องจักรอุตสาหกรรม
