,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,TTB,,1.39,1.46,401.4,FINCIAL,BANK,,กลาง
1,WAVE,C,0.15,0.0,394.07,SERVICE,MEDIA,,
2,AAI,,8.2,4.46,145.66,,,,อาหารทะเลแช่แข็ง
3,SIRI,,1.32,-0.75,142.58,PROPCON,PROP,ITD NWR SIRI,คอนโดและบ้านจัดสรร พัฒนาอสังหาริมทรัพย์
4,STARK,,3.42,7.55,132.9,INDUS,IMM,,สายไฟฟ้า
5,TEGH,,4.72,13.46,101.27,AGRO,AGRI,,
6,CHG,,3.66,2.81,80.55,SERVICE,HELTH,,โรงพยาบาลขนาดกลาง
7,LPN,,4.6,9.52,69.01,PROPCON,PROP,,คอนโดและบ้านจัดสรร พัฒนาอสังหาริมทรัพย์
8,GRAND,,0.23,0.0,65.54,SERVICE,TOURISM,,โรงแรม
9,KAMART,,6.1,-4.69,57.46,SERVICE,COMM,DDD BEAUTY KAMART RS KISS,เครื่องสําอางค์
