,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,SMK,"C, NP",7.9,29.51,4.08,FINCIAL,INSUR,,ประกันวินาศภัย
1,CHARAN,,29.25,6.36,0.0,FINCIAL,INSUR,,ประกันวินาศภัย
2,EMC,C,0.2,5.26,5.88,PROPCON,CONS,,ก่อสร้างวางระบบไฟฟ้า
3,CIVIL,,3.2,5.26,39.26,PROPCON,CONS,,รับเหมาทางรถไฟท่าอากาศยานเหมืองแร่อ่างเก็บนํ้า
4,STECH,,2.26,4.63,1.03,PROPCON,CONMAT,,คอนกรีต
5,MIPF,,13.6,4.62,0.0,PROPCON,PF&REIT,,
6,MPIC,,1.71,4.27,0.34,SERVICE,MEDIA,MATCH MPIC,
7,UP,,22.2,4.23,0.0,INDUS,PETRO,,ฉีดชิ้นส่วนพลาสติกและแม่พิมพ์สําหรับยานยนต์
8,AJA,,0.27,3.85,6.15,CONSUMP,HOME,JTS ZIGA UPA ECF AJA COMAN MVP,เครื่องใช้ไฟฟ้า
9,KC,C,0.27,3.85,5.97,PROPCON,PROP,,
