,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,EFORL,C,0.48,11.63,64.43,CONSUMP,,,เครื่องมือแพทย์
1,KWM,,2.88,5.88,142.57,INDUS,,KWM KWI,ใบผาล อุปกรณ์การเกษตร
2,MBAX,,5.3,4.95,1.23,INDUS,,TPLAS TNPC MBAX PJW,บรรจุภัณฑ์พลาสติก
3,SR,,1.38,4.55,0.09,RESOURC,,,ปิโตรเลียมเหลว
4,MORE,,2.88,4.35,345.07,SERVICE,,,"ผลิตยาสมุนไพร, อสังหา, เน็ตเวิร์ค"
5,SICT,,8.6,4.24,6.27,TECH,,,ผลิตภัณฑ์วงจรรวมหรือไมโครชิพ
6,OTO,,15.2,2.7,3.89,SERVICE,,,ระบบ Contact center
7,ICN,,4.02,2.55,9.27,TECH,,INET INSET ICN,วางระบบโทรคมนาคม
8,DOD,,4.88,2.52,4.77,CONSUMP,,,อาหารเสริม
9,DIMET,,0.51,2.0,9.82,PROPCON,,,สีทาบ้าน
