,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,STOWER,C,0.05,25.0,4.01,RESOURC,,,โรงไฟฟ้าพลังงานทดแทน และติดตั้งระบบไฟฟ้า
1,PTC,,3.16,16.18,116.47,RESOURC,,,คลังนํ้ามันเชื้อเพลิง
2,ARIP,,1.09,15.96,75.2,SERVICE,,SVOA SPVI ARIP CPW,ออร์กาไนเซอร์ งานนิทรรศการ
3,SK,,0.96,7.87,6.37,PROPCON,,,คอนกรีตอัดแรง
4,ABICO,,5.7,5.56,0.38,AGRO,,,นมยูเอชที
5,TPCH,,7.5,4.9,1.06,RESOURC,,,ไฟฟ้าชีวมวล -ขยะ
6,PPM,,2.5,4.17,9.75,INDUS,,,อลูมิเนียม ลวดเหล็ก เหล็กกล้า
7,TITLE,,1.6,3.23,0.31,PROPCON,,,พัฒนาอสังหาริมทรัพย์
8,KCM,,0.68,3.03,0.12,INDUS,,TSTH MILL INOX SAM KCM TMC,หลังคาเหล็ก
9,PJW,,5.25,2.94,87.02,INDUS,,TPLAS TNPC MBAX PJW,บรรจุภัณฑ์พลาสติก
