,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,SENAJ,,1.25,-1.57,59.67,PROPCON,,,
1,UPA,,0.22,0.0,41.92,RESOURC,,JTS ZIGA UPA ECF AJA COMAN MVP,โซล่าเซลล์และสาธารณูปโภค
2,DIMET,,0.5,0.0,36.41,PROPCON,,,สีทาบ้าน
3,PSG,,1.35,-0.74,32.67,PROPCON,,,
4,CHIC,,0.83,-7.78,31.8,SERVICE,,,เฟอร์นิเจอร์ตกแต่งภายใน
5,LDC,,1.21,-5.47,31.05,SERVICE,,,ทันตกรรม
6,VL,,1.67,7.05,29.66,SERVICE,,,ขนส่ง
7,HPT,,1.05,-3.67,27.39,CONSUMP,,UMI COTTO DCC RCI TGCI HPT,เซรามิก
8,NEWS,C,0.03,0.0,26.51,SERVICE,,,ระบบเทคโนโลยีสารสนเทศและกําลังจะทํา Fintech
9,ALL,,0.56,-3.45,23.16,PROPCON,,,พัฒนาอสังหาริมทรัพย์
