,symbol,sign,last,percentChange,totalVolume,industry,sector,cors,detail
0,IMH,,12.8,8.47,1.5,SERVICE,,PHOL TM IMH,โรงพยาบาลขนาดเล็ก
1,VL,,1.67,7.05,29.66,SERVICE,,,ขนส่ง
2,TMW,,34.75,6.92,0.1,INDUS,,,พลาสติกสําหรับรถยนต์ พิมพ์สี
3,CEYE,,4.66,4.95,1.38,SERVICE,,,ผลิตภาพนิ่งและเคลือนไหว สำหรับธุรกิจโฆษณา
4,ABM,,2.18,4.81,0.92,RESOURC,,ETC BWG GENCO AKP ABM,เชื้อเพลิงชีวมวล
5,SR,,1.39,4.51,0.01,RESOURC,,,ปิโตรเลียมเหลว
6,BROOK,,0.47,4.44,8.7,FINCIAL,,,ปรึกษาธุรกิจด้านการเงินและลงทุนสกุลเงินดิจิติล
7,TNP,,4.08,4.08,2.37,SERVICE,,,ซุปเปอร์มาร์เก็ต
8,FVC,,1.55,4.03,1.62,SERVICE,,,ระบบบําบัดนํ้า
9,ATP30,,1.38,3.76,2.48,SERVICE,,,ผู้ให้บริการรถโดยสาร
